id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39574996,Rental unit in Florence · 1 bedroom · 1 bed · 1 shared bath,95700230,Julia,,Centro Storico,43.76606,11.2501,Private room,25,3,2,2019-12-11,0.05,1,0,0,
39602476,Rental unit in Florence · ★4.50 · 1 bedroom · 2 beds · 1 bath,3031300,Novella House,,Centro Storico,43.77501,11.24759,Entire home/apt,241,1,20,2023-06-05,0.47,13,94,12,
39615554,Rental unit in Florence · ★4.98 · 3 bedrooms · 6 beds · 3 baths,225126709,Elena Michele,,Centro Storico,43.76832,11.25718,Entire home/apt,336,2,133,2023-06-16,3.61,2,203,76,
39621674,Rental unit in Florence · ★4.97 · 2 bedrooms · 2 beds · 2 baths,235241638,Pietrapiana,,Centro Storico,43.77145,11.26396,Entire home/apt,304,1,34,2023-06-11,1.69,18,130,22,
39623390,Rental unit in Florence · 2 bedrooms · 4 beds · 1.5 baths,35369131,Silvia,,Centro Storico,43.78353,11.2364,Entire home/apt,159,2,1,2019-12-01,0.02,3,273,0,
39633221,Rental unit in Florence · ★4.86 · 1 bedroom · 2 beds · 1 bath,165387610,Tiziana,,Centro Storico,43.77016,11.25674,Entire home/apt,117,2,14,2023-01-03,0.99,1,209,10,
39646473,Rental unit in Florence · ★5.0 · 4 bedrooms · 4 beds · 2 baths,186809695,Roberta,,Rifredi,43.791382,11.246311,Entire home/apt,232,2,40,2023-06-18,0.90,3,248,20,
39660092,Rental unit in Florence · 1 bedroom · 3 beds · 1 bath,161172740,Sleep Tight Florence,,Centro Storico,43.78179,11.23704,Entire home/apt,291,2,0,,,9,140,0,
39673988,Bed and breakfast in Florence · 6 bedrooms · 15 beds · 6 baths,164273963,Eros,,Centro Storico,43.77223,11.25336,Private room,800,2,0,,,4,357,0,
39674989,Rental unit in Florence · ★4.76 · 1 bedroom · 1 bed · 1 bath,71957242,Andrea & Nastya,,Centro Storico,43.77117,11.26485,Entire home/apt,80,2,21,2023-05-14,0.50,1,179,12,
39680766,Bed and breakfast in Florence · 3 bedrooms · 5 beds · 2 shared baths,39058163,Jacopo,,Centro Storico,43.76557,11.24382,Private room,155,2,2,2022-08-13,0.16,4,314,1,
39689821,Condo in Florence · ★4.86 · 1 bedroom · 1 bed · 1 private bath,33994505,Marta,,Rifredi,43.79492,11.24992,Private room,38,2,35,2023-06-18,1.84,2,200,22,
39707071,Condo in Florence · ★4.83 · 1 bedroom · 2 beds · 1 bath,189636247,Lorenzo,,Centro Storico,43.77609,11.23936,Entire home/apt,75,2,6,2020-04-05,0.14,3,0,0,
39710744,Rental unit in Florence · ★4.67 · 2 bedrooms · 4 beds · 2 baths,305210919,Claudio,,Centro Storico,43.77688,11.2541,Entire home/apt,140,2,12,2023-01-02,0.52,1,0,9,Il Codice Identificativo Regionale (C.I.R) in base all’ articolo 70 della legge regionale 86 del 2016 è: 048017LTN1421.
39714917,Rental unit in Florence · ★4.81 · Studio · 1 bed · 1 bath,100018893,Elena,,Centro Storico,43.7797,11.24054,Entire home/apt,90,3,106,2023-05-30,2.59,1,47,44,
39720102,Hotel in Florence · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,283234036,Hotel Costantini,,Centro Storico,43.77266,11.25435,Private room,160,1,86,2023-06-04,2.53,4,192,36,
39720316,Hotel in Florence · ★4.70 · 1 bedroom · 1 bed · 1 private bath,283234036,Hotel Costantini,,Centro Storico,43.77161,11.25449,Private room,189,1,92,2023-05-22,2.21,4,195,31,
39720451,Hotel in Florence · ★4.65 · 1 bedroom · 2 beds · 1 private bath,283234036,Hotel Costantini,,Centro Storico,43.77313,11.25433,Private room,199,1,23,2023-03-24,0.52,4,192,9,
39720491,Hotel in Florence · 1 bedroom · 3 beds · 1 private bath,283234036,Hotel Costantini,,Centro Storico,43.77311,11.2543,Private room,266,1,2,2022-06-22,0.06,4,156,1,
39726841,Rental unit in Florence · ★4.91 · 2 bedrooms · 2 beds · 1 bath,189636247,Lorenzo,,Centro Storico,43.77736,11.24081,Entire home/apt,45,2,34,2021-10-27,0.81,3,0,0,
39739454,Boutique hotel in Florence · ★5.0 · 1 bedroom · 1 bed · 1 private bath,305439008,Giovanni,,Centro Storico,43.78062,11.259,Private room,115,1,7,2022-06-19,0.17,13,141,0,
39744524,Rental unit in Florence · ★5.0 · 1 bedroom · 2 beds · 1 bath,305492325,Daniele,,Centro Storico,43.78428,11.2397,Entire home/apt,60,1,5,2020-02-23,0.11,1,0,0,
39751797,Rental unit in Florence · ★5.0 · 1 bedroom · 1 bed · 1 private bath,1220776,Paola,,Centro Storico,43.78052,11.25334,Private room,30,2,8,2020-02-22,0.19,1,0,0,
39767076,Serviced apartment in Florence · ★5.0 · 5 bedrooms · 12 beds · 5 baths,31053148,Mauro,,Centro Storico,43.76,11.24203,Entire home/apt,700,2,10,2023-04-07,0.48,2,87,6,
39767339,Home in Florence · 1 bedroom · 1 bed · 2.5 baths,5272126,Elena,,Gavinana Galluzzo,43.75376,11.22213,Private room,250,1125,0,,,13,364,0,
39834200,Rental unit in Florence · ★4.96 · 2 bedrooms · 2 beds · 1 bath,306492160,Paola,,Centro Storico,43.76941,11.25594,Entire home/apt,220,3,28,2023-06-15,0.66,1,174,19,
39841965,Condo in Florence · ★4.92 · 2 bedrooms · 2 beds · 1 bath,14843981,Alessandro,,Campo di Marte,43.76888,11.27407,Entire home/apt,85,3,49,2023-06-15,3.42,1,7,39,
39851409,Rental unit in Florence · ★4.93 · 2 bedrooms · 2 beds · 1 bath,51561154,Giulio,,Centro Storico,43.77791,11.25419,Entire home/apt,275,2,85,2023-06-17,1.97,18,162,58,
39851607,Rental unit in Florence · 2 bedrooms · 3 beds · 2 baths,23904874,Edoardo E Michela,,Gavinana Galluzzo,43.76102,11.29734,Entire home/apt,152,1,1,2021-09-18,0.05,209,171,0,
39853476,Bed and breakfast in Florence · 1 bedroom · 3 beds · 1 private bath,137969792,DuomoviewBb,,Centro Storico,43.77205,11.25575,Private room,120,3,1,2022-06-21,0.08,2,21,0,
39855488,Rental unit in Florence · 2 bedrooms · 4 beds · 1.5 baths,35369131,Silvia,,Centro Storico,43.7816,11.23463,Entire home/apt,169,2,1,2023-05-29,1,3,323,1,
39859322,Rental unit in Florence · ★4.13 · 1 bedroom · 1 bed · 1 bath,23904874,Edoardo E Michela,,Isolotto Legnaia,43.77482,11.22916,Entire home/apt,115,1,8,2022-10-23,0.54,209,125,4,
39866807,Rental unit in Florence · ★4.99 · 1 bedroom · 2 beds · 1 bath,306995610,Debora&Riccardo,,Centro Storico,43.7766,11.25461,Entire home/apt,287,2,230,2023-06-18,5.30,1,95,98,
39877863,Rental unit in Florence · ★4.60 · 2 bedrooms · 4 beds · 2 baths,43345605,Alice,,Centro Storico,43.77272,11.26317,Entire home/apt,190,2,20,2023-01-08,0.47,2,104,6,
39881258,Rental unit in Florence · ★4.56 · 1 bedroom · 3 beds · 1.5 baths,23904874,Edoardo E Michela,,Centro Storico,43.77048,11.25915,Entire home/apt,121,1,57,2023-06-17,2.45,209,233,50,
39882547,Hotel in Florence · ★4.29 · 1 bedroom · 2 beds · 1 bath,304290741,Forte 16 View And SPA,,Campo di Marte,43.77228,11.27221,Private room,270,1,7,2022-09-14,0.32,7,148,1,
39883197,Hotel in Florence · ★4.83 · 1 bedroom · 2 beds · 1 private bath,304290741,Forte 16 View And SPA,,Campo di Marte,43.7713,11.27193,Private room,295,1,35,2023-05-25,0.85,7,186,7,
39883536,Hotel in Florence · ★4.57 · 1 bedroom · 2 beds · 1 shared bath,304290741,Forte 16 View And SPA,,Centro Storico,43.77121,11.27067,Private room,350,1,7,2023-04-08,0.17,7,190,2,
39883901,Boutique hotel in Florence · 1 bedroom · 2 beds · 1 private bath,304290741,Forte 16 View And SPA,,Centro Storico,43.77113,11.27159,Private room,379,1,1,2023-02-19,0.24,7,197,1,
39884087,Hotel in Florence · 1 bedroom · 1 bed · 1 private bath,304290741,Forte 16 View And SPA,,Campo di Marte,43.77107,11.27241,Private room,312,1,2,2023-04-08,0.11,7,156,1,
39884251,Hotel in Florence · 1 bedroom · 1 bed · 1 private bath,304290741,Forte 16 View And SPA,,Campo di Marte,43.77242,11.27229,Private room,459,1,1,2021-08-24,0.04,7,130,0,
39885013,Hotel in Florence · 1 bedroom · 1 bed · 1 private bath,304290741,Forte 16 View And SPA,,Campo di Marte,43.77295,11.27214,Private room,489,1,1,2021-07-10,0.04,7,151,0,
39887102,Rental unit in Florence · ★4.0 · 1 bedroom · 1 bed · 1 bath,23904874,Edoardo E Michela,,Isolotto Legnaia,43.77428,11.23065,Entire home/apt,115,1,10,2023-05-10,0.70,209,295,8,
39893543,Rental unit in Florence · ★4.60 · 1 bedroom · 1 bed · 1 bath,215340402,Lara,,Centro Storico,43.77262,11.26285,Entire home/apt,84,2,52,2023-05-29,1.19,1,71,31,
39912592,Bed and breakfast in Florence · 1 bedroom · 1 bed · 1 bath,17260091,Emozioni Fiorentine,,Centro Storico,43.7723,11.25399,Private room,241,1,0,,,4,0,0,
39913043,Bed and breakfast in Florence · 1 bedroom · 1 bed · 1 bath,17260091,Emozioni Fiorentine,,Centro Storico,43.7704,11.25352,Private room,218,1,0,,,4,0,0,
39916190,Rental unit in Florence · ★4.85 · 1 bedroom · 2 beds · 1 bath,307585050,Lisa,,Centro Storico,43.78092,11.25557,Entire home/apt,90,4,190,2023-06-19,4.36,2,15,57,
39921641,Rental unit in Florence · ★4.60 · 1 bedroom · 1 bed · 1 bath,187225527,Andrea,,Centro Storico,43.77116,11.24959,Entire home/apt,196,2,145,2023-05-03,3.36,10,324,43,
39931587,Rental unit in Florence · ★4.92 · 2 bedrooms · 3 beds · 1.5 baths,68639780,Elena,,Centro Storico,43.76844,11.24615,Entire home/apt,126,2,96,2023-05-31,2.26,4,259,51,
39939984,Rental unit in Florence · ★4.75 · 2 bedrooms · 3 beds · 2 baths,260783490,Segre,,Centro Storico,43.77273,11.24997,Entire home/apt,105,1,12,2023-06-07,0.91,1,18,11,
39941497,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,23904874,Edoardo E Michela,,Isolotto Legnaia,43.77411,11.23223,Entire home/apt,100,1,0,,,209,181,0,
39948040,Rental unit in Florence · ★3.67 · 1 bedroom · 1 bed · 1 bath,307793749,Francesca,,Centro Storico,43.76698,11.25097,Entire home/apt,105,2,3,2021-08-26,0.13,1,0,0,Il Codice Identificativo Regionale (C.I.R) in base all’ articolo 70 della legge regionale 86 del 2016 è: 048017LTN1464.
39959752,Rental unit in Florence · 1 bedroom · 2 beds · 2 baths,23904874,Edoardo E Michela,,Isolotto Legnaia,43.77537,11.23066,Entire home/apt,100,1,1,2020-03-22,0.03,209,170,0,
39962523,Rental unit in Florence · 5 bedrooms · 5 baths,164273963,Eros,,Rifredi,43.78773,11.26171,Entire home/apt,820,2,0,,,4,358,0,
39963947,Rental unit in Florence · 1 bedroom · 3 beds · 1 bath,23904874,Edoardo E Michela,,Centro Storico,43.76997,11.25612,Entire home/apt,118,2,0,,,209,259,0,
39965568,Rental unit in Florence · ★4.92 · 3 bedrooms · 4 beds · 3 baths,305430062,Donatella,,Centro Storico,43.78196,11.25392,Entire home/apt,500,2,73,2023-06-12,1.68,1,296,31,048017LTN4851
39968180,Rental unit in Florence · 1 bedroom · 1 bed · 1 shared bath,308142106,Leean,,Centro Storico,43.76371,11.24444,Private room,40,2,1,2019-11-12,0.02,1,0,0,
39969771,Rental unit in Florence · 1 bedroom · 3 beds · 1 bath,301492547,Itinere Villas,,Centro Storico,43.77157,11.26295,Entire home/apt,495,1,0,,,6,0,0,Licenza Tour Operator determinazione n°7911 e nel Registro Regione Toscana
39981705,Boutique hotel in Florence · ★5.0 · 1 bedroom · 1 bed · 1 private bath,305439008,Giovanni,,Centro Storico,43.78017,11.2604,Private room,80,1,3,2021-08-01,0.07,13,141,0,
39984620,Rental unit in Florence · ★4.67 · 2 bedrooms · 3 beds · 2 baths,67054128,Leo,,Centro Storico,43.77653,11.25272,Entire home/apt,183,1,12,2023-05-20,0.50,5,133,3,
39997396,Rental unit in Florence · 1 bedroom · 2 beds · 1 bath,258900361,Alessandro,,Campo di Marte,43.76693,11.28363,Entire home/apt,80,4,1,2020-02-22,0.02,1,228,0,
40005910,Rental unit in Florence · ★4.82 · 1 bedroom · 1 bed · 1 bath,9137092,Silvia,,Centro Storico,43.77072,11.26631,Private room,48,3,11,2023-01-01,0.26,12,317,8,
40026504,Rental unit in Florence · ★4.93 · 1 bedroom · 3 beds · 1 bath,308707299,Claudia,,Centro Storico,43.75906,11.24065,Entire home/apt,422,1,14,2021-12-23,0.32,1,74,0,
40027218,Rental unit in Florence · ★4.94 · 2 bedrooms · 3 beds · 1 bath,24548928,Kim,,Centro Storico,43.76661,11.25537,Entire home/apt,200,3,18,2023-06-17,1.72,1,264,18,
40033213,Rental unit in Florence · ★5.0 · 2 bedrooms · 3 beds · 1 bath,14245325,Riccardo,,Campo di Marte,43.79226,11.2708,Entire home/apt,141,1,3,2023-05-19,1.61,2,277,3,12345
40034176,Rental unit in Florence · ★4.95 · 2 bedrooms · 2 beds · 1 bath,1755602,Titti,,Rifredi,43.80652,11.23986,Entire home/apt,152,4,21,2023-06-02,0.93,2,87,10,CIR048017LTN4737
40050137,Boutique hotel in Florence · 1 bedroom · 1 bed · 1 private bath,305439008,Giovanni,,Centro Storico,43.78034,11.25936,Private room,100,1,2,2021-07-22,0.05,13,141,0,
40052116,Rental unit in Florence · ★4.61 · 3 bedrooms · 6 beds · 3 baths,23904874,Edoardo E Michela,,Centro Storico,43.76864,11.25833,Entire home/apt,325,1,116,2023-06-10,2.66,209,221,68,
40053087,Rental unit in Florence · 1 bedroom · 2 beds · 1 bath,23904874,Edoardo E Michela,,Centro Storico,43.76822,11.25776,Entire home/apt,118,1,1,2019-12-29,0.02,209,0,0,
40054339,Rental unit in Florence · ★4.33 · 2 bedrooms · 4 beds · 2 baths,23904874,Edoardo E Michela,,Centro Storico,43.76886,11.25787,Entire home/apt,170,1,3,2023-04-30,0.07,209,0,1,
40058209,Rental unit in Florence · 3 bedrooms · 6 beds · 2 baths,180745165,Marcella,,Campo di Marte,43.76745,11.28524,Entire home/apt,59,7,0,,,1,0,0,
40062802,Condo in Florence · ★4.75 · 1 bedroom · 4 beds · 1 bath,31053148,Mauro,,Centro Storico,43.76068,11.24036,Entire home/apt,174,2,4,2022-09-23,0.22,2,76,3,
40063005,Rental unit in Florence · 1 bedroom · 1 bed · 1 shared bath,309024054,Giulia,,Centro Storico,43.77963,11.25994,Private room,55,1,0,,,1,0,0,
40065482,Rental unit in Florence · ★4.80 · 1 bedroom · 1 bed · 1 bath,130799886,Ruben,,Centro Storico,43.77015,11.24988,Entire home/apt,144,2,61,2023-05-29,1.44,1,133,51,
40081504,Rental unit in Florence · 2 bedrooms · 3 beds · 1 bath,5572398,Cristina E Raffaele,,Centro Storico,43.77333,11.25792,Entire home/apt,170,2,2,2022-07-03,0.05,15,0,1,
40083202,Rental unit in Florence · ★4.84 · 3 bedrooms · 5 beds · 2 baths,302124948,Tommaso,,Centro Storico,43.77193,11.25478,Entire home/apt,1046,1,57,2023-06-21,1.32,1,11,20,
40105794,Rental unit in Florence · 1 bedroom · 2 beds · 1.5 baths,269485588,Matteo,,Centro Storico,43.7749,11.25213,Entire home/apt,85,1,1,2019-12-31,0.02,2,0,0,3296087003
40107950,Rental unit in Florence · ★4.58 · 2 bedrooms · 2 beds · 2 baths,114253061,Lorenzo,,Centro Storico,43.7772,11.25314,Entire home/apt,220,1,33,2022-12-29,0.76,34,78,8,
40125485,Boutique hotel in Florence · ★4.0 · 1 bedroom · 1 private bath,305439008,Giovanni,,Centro Storico,43.78173,11.25878,Private room,99,1,4,2020-07-13,0.09,13,141,0,
40126405,Boutique hotel in Florence · 1 bedroom · 1 bed · 1 private bath,305439008,Giovanni,,Centro Storico,43.78138,11.25808,Private room,75,1,2,2020-02-08,0.05,13,141,0,
40126497,Rental unit in Florence · 1 bedroom · 4 beds · 1 bath,309663439,Tiziana,,Centro Storico,43.78091,11.23771,Entire home/apt,120,5,0,,,1,60,0,
